Date,Name,Year,Letterboxd URI
2023-03-20,Dick Tracy Special: Tracy Zooms In,2023,https://boxd.it/F0XI
2023-03-20,Willow,1988,https://boxd.it/29t0
2023-03-20,Singin' in the Rain,1952,https://boxd.it/29oY
2023-03-20,Conan the Barbarian,1982,https://boxd.it/1YOm
2023-03-20,The Beastmaster,1982,https://boxd.it/1K5s
2023-03-20,Strange Way of Life,2023,https://boxd.it/Aomw
2023-03-22,Gallipoli,1981,https://boxd.it/1Tlk
2023-03-25,Louis Tomlinson: All of Those Voices,2023,https://boxd.it/EZXW
2023-04-16,Salesman,1969,https://boxd.it/1rWC
2023-04-19,Ultrasound,2021,https://boxd.it/uWRG
2023-04-19,Good Bye Lenin!,2003,https://boxd.it/2ayA
2023-05-11,End of Watch,2012,https://boxd.it/2F5O
2023-05-11,Jarhead,2005,https://boxd.it/70m
2023-05-11,The Court Jester,1955,https://boxd.it/1SXW
2023-05-15,Fat City,1972,https://boxd.it/1JnU
2023-05-15,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk
2023-05-15,The Dead,1987,https://boxd.it/13vC
2023-05-15,Dodsworth,1936,https://boxd.it/1iWI
2023-05-15,Heartbeat,1968,https://boxd.it/P5g
2023-05-16,Analyze That,2002,https://boxd.it/1XuK
2023-05-16,Analyze This,1999,https://boxd.it/1Yr8
2023-05-17,Le Samouraï,1967,https://boxd.it/22ZI
2023-05-17,The Friends of Eddie Coyle,1973,https://boxd.it/1vki
2023-05-19,Frances Ha,2012,https://boxd.it/41Xg
2023-05-20,Crash Pad,2017,https://boxd.it/dCnW
2023-05-22,Gas Food Lodging,1992,https://boxd.it/JGU
2023-05-23,Capturing the Friedmans,2003,https://boxd.it/2748
2023-05-24,May December,2023,https://boxd.it/vEE2
2023-05-24,The Green Ray,1986,https://boxd.it/t8W
2023-05-27,Investigation of a Citizen Above Suspicion,1970,https://boxd.it/1tRY
2023-05-27,Heathers,1988,https://boxd.it/26x4
2023-05-27,Bastion Point: Day 507,1980,https://boxd.it/nHae
2023-05-28,Rolling Thunder,1977,https://boxd.it/1BgG
2023-05-28,Manhattan Melodrama,1934,https://boxd.it/1piK
2023-05-29,The Color of Money,1986,https://boxd.it/1SSM
2023-06-06,Adaptation.,2002,https://boxd.it/26mA
2023-06-09,After Hours,1985,https://boxd.it/1VfS
2023-06-20,"The Gangster, the Cop, the Devil",2019,https://boxd.it/lnuk
2023-07-30,Bad Day at Black Rock,1955,https://boxd.it/1NRk
